"COLUMN_NAME"	"SAMPLE_TYPE"	"LABEL"	"LEGAL_VALUES"
"OWN_NARS"	"DESIGN"	"Land ownership code derived from USGS PADUS (http://gapanalysis.usgs.gov/padus/data/) - pulled May 2016 version of database. Aggregated to categories used by NARS.  Text of 13 land ownership category names. Similar to OWN_TYPE  in USGS PADUS dataset except that Federal_Land is separated into major federal agencies.   No missing or \"blank\" values allowed."	"BLM |  DOD | | DOE | USFS | FWS | NOAA | Non Federal | NPS | Tribal Land| USACE | USBR | NRCS| Other Fed"
"PANEL_RVST"	"DESIGN"	"Survey of time panels that identifies which sites were visited in which design cycle.  Form is SSS_Y1_Y2_Y3_etc where SSS is abbreviation for the STUDY (NRS) and Yi identifies year visited which is \"NO\" if no visit in that design cyle. For HAND sites, panel value is \"NONE\". No missing or \"blank\" values allowed."	
"PANEL_SOT"	"DESIGN"	"Survey over time sets of sites for only probability sites.   As new design cycles are added for NRSA, PANEL_SOT values must be updated.  Form is NRS_XX_XX_XX_etc.  Where XX equal  design cycle year  or NO if not evaluated and position designates the 1st, 2nd, and 3rd design cycles.  Note that all possible combinates for PANEL_RVST may not be present for PANEL_SOT.  For hand-picked sites, value is HAND. No missing or \"blank\" values allowed."	"NRS_08_NO | NRS_08_13 | NRS_NO_13 | HAND"
"PANEL_USE"	"DESIGN"	"NRSA Panel Assignment. Text that has form NRSnn_mmXXXn_YYYY, where nn is current cycle year (09, 14, 19, etc), mm is cycle year stream site was first selected for sampling, XXXn denotes revisit status, and YYYY denotes base or over sample status.  XXXn equals either RVT2 (if site should be visited twice in current cycle year) or RVT (if site should be visited once in current cycle and was previously visited in a prior cycle year) and is blank otherwise.  YYYY  is either blank (if the stream site is a base site) or equals OverSamp (if the stream site is an over sample site).  Note: For state specific designs, state two letter code is added.  Hand-picked sites have value \"NONE\". No missing or \"blank\" values allowed."	
"PANEL_WGT"	"DESIGN"	"Sets of probability sites required for the weight adjustment for each design cycle.  PANEL_WGT is not changed when future design cycles are completed. Hand-picked sites assigned as NONE, since they are not a probability site.    No missing or \"blank\" values allowed.."	
"PROB_CAT"	"DESIGN"	"NRSA unequal probability categories used within a stratum. Hand-picked sites equal to \"None\"  as they are not a site from probability design.  No missing values allowed"	
"PSTL_CODE"	"DESIGN"	"State two-letter postal code"	
"PSTL_CODE"	"DESIGN"	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing or \"blank\" values allowed."	
"RCHDOWN"	"VERIF"	"Downstream Length (m)"	
"RCHUP"	"VERIF"	"Upstream Length (m)"	
"REACHCODE"	"DESIGN"	"NHD Reach code assigned"	"Numeric"
"REACHCODE"	"DESIGN"	"NHD Reach code assigned. Value of 'None' if site is on reach that is not in NHD. No missing values or \"blanks\" allowed."	"Reachcode value preceeded by 'R' (values have leading zeros)"
"SF_ST_ID"	"DESIGN"	"Stream ID from a State sample frame .  \"None\" if not in state sample frame..  No missing  or \"blank\" values allowed."	
"SITE_ID"	"DESIGN"	"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999.  No missing or \"blank\" values allowed."	
"SITE_ID"	"LANDSCAPE"	"Unique Site ID assigned for NRSA13-14"	
"SITE_ID"	"VERIF"	"Site ID"	
"SITETYPE"	"DESIGN"	"Site type (Probability-based or hand-picked)"	"PROB | HAND"
"SITETYPE"	"DESIGN"	"Site type (Probability-based or hand-picked).  PROB for sites from probability survey.  Usually HAND for hand-picked sites.  In EMAP West and WSA, STARHAND is used to identify hand-picked sites that do not have all CORE indicators available . No missing or \"blank\" values allowed."	"PROB | HAND | STARHAND |"
"SOURCE"	"DESIGN"	"Sample frame source"	"NHDPlusv2| State frame names"
"SOURCE"	"DESIGN"	"Sample frame source for PROB sites and NONE for HAND sites.  State frame names if used .  No missing or \"blank\" values allowed."	"RF3 |  NHDPlusV1| NHDPlusV2 | NONE"
"STATE_NM"	"DESIGN"	"State to which stream reach is assigned for sampling in NRSA.   No missing or \"blank\" values allowed."	
"STATE_SF"	"DESIGN"	"Include or exclude stream reach in state sample frame.  No missing or \"blank\" values allowed."	"Include | Exclude |"
"STATECTY"	"DESIGN"	"FIPS state and county code"	"Text - numeric with leading zero"
"STATECTY"	"DESIGN"	"FIPS state and county code. Text with leading \"F\" before code.  No missing or \"blank\" values allowed."	
"STRAH_CAL"	"DESIGN"	"Strahler calculator from NHDPlusv2.  Used to identify braided reaches."	"Numeric: 0 to 10."
"STRAH_CAL"	"DESIGN"	"Strahler calculator from NHDPlusv2.  Used to identify braided reaches. Values of 0 to 10. No missing or \"blank\" values allowed."	
"STRAH_CAT"	"DESIGN"	"Strahler category used to classify reaches.  RiversMajor (5th and higher)  RiversOther (5th and higher) LargeStreams (3rd and 4th)  SmallStreams (1st and 2nd)"	"RiversMajor | RiversOther | LargeStreams | SmallStreams"
"STRAH_CAT"	"DESIGN"	"Strahler category used to classify reaches.  SmallStreams – 1st and 2nd order; LargeStreams – 3rd and 4th order; MajorRivers – 5th order and higher that are identified as MajorRiver/Additional in MAJ_RIVER variable;  and OtherRivers – 5th and higher that are not MajorRivers.  No missing or \"blank\" values allowed."	"RiversMajor | RiversOther | LargeStreams | SmallStreams |"
"STRAH_ORD"	"DESIGN"	"Strahler order from NHDPlusv2"	"Numeric: 0 to 10."
"STRAH_ORD"	"DESIGN"	"Strahler order from NHDPlusv2. Values from 0 to 10. No missing or \"blank\" values allowed."	
"STRATUM"	"DESIGN"	"Stratum use for survey design (national assessment). Needed for population estimates. For value definitions, see survey-specific design documentation."	
"STRATUM"	"DESIGN"	"Strata used in the NRSA survey design.  . Hand-picked sites assigned value of \"None\".   No missing or \"blank\" values alllowed."	
"TNT_CAT"	"DESIGN"	"NRSA target status assigned based on stream site evaluation. For population estimation must combine with SITETYPE to restrict to probability survey sites.  No missing or \"blank\" values allowed."	"Target | Target_Presumed |Uncertain | Non_Target | Not_Needed |"
"URBN_NRS08"	"DESIGN"	"Stream  identified as an urban stream based on urban definition used in NRSA 2008-9 design.  Urban based on 2000 Census polygons of urban areas and 3km buffer to ensure census waters included.  No missing or \"blank\" values allowed."	"Urban | Non-Urban |"
"URBN_NRS18"	"DESIGN"	"Stream  identified as an urban stream based on urban definition used in NRSA 2018-19 design. Urban based on 2010 Census polygons of urban areas. No 3km buffer to ensure census waters included since census polygons now include census waters.  No missing or \"blank\" values allowed."	"Urban | Non-Urban |"
"US_L3CODE"	"DESIGN"	"Omernik Level III ecoregion code"	"Numeric 1 to 85"
"US_L3CODE"	"DESIGN"	"Omernik Level III ecoregion code. Coded as \"0\" if ecoregions have not been defined for state or territory. No missing or \"blank\" values allowed."	
"US_L3NAME"	"DESIGN"	"Omernik Level III ecoregion name"	"Text name"
"US_L3NAME"	"DESIGN"	"Omernik Level III ecoregion name. \"None\" if no ecoregion defined for state or territory.  No missing or \"blank\" values allowed."	
"US_L4CODE"	"DESIGN"	"Omernik Level IV ecoregion code"	"Level three codes plus aphabetic ending identifying level 4 subregion"
