PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,AG_ECO9,EPA_REG,STATE,SAMPLE_TYPE,FLAG,CAL_INST_ID,CAL_INST_MODEL,COND_STD1_DESC,COND_STD1_VALUE,COND_STD2_DESC,COND_STD2_VALUE,CONDUCTIVITY,CORRECTED,DO,DO_CALIBRATION_UNITS,DO_CALIBRATION_VALUE,DO_DISPLAYED_UNITS,DO_DISPLAYED_VALUE,DO_ELEVATION,DO_PRESSURE,FIELD_MEASUREMENT_REVIEW,LOCATION,OTH_LOCATION,PH,PH_STD1_DESC,PH_STD1_VALUE,PH_STD2_DESC,PH_STD2_VALUE,TEMP_SENSOR,TEMP_THERMOMETER,TEMPERATURE,TIME
1/26/2021,2014441,NRS18_SD_11910,8/19/2019,1,NPL,Region_08,SD,FIELDMEAS,,,,,,,,681,Y,7.55,,,,,,,Y,A,,7.99,,,,,,,21.2,9:53
1/26/2021,2014442,NRS18_OK_10011,8/19/2019,1,SPL,Region_06,OK,CALIB,,19c100673,YSS ProDSS,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014442,NRS18_OK_10011,8/19/2019,1,SPL,Region_06,OK,CALIB,COND_CALIBRATION_COMMENT,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014442,NRS18_OK_10011,8/19/2019,1,SPL,Region_06,OK,CALIB,DO_CALIBRATION_COMMENT,,,,,,,,,,PERCENT,96.1,PERCENT,96.1,,730.1,,,,,,,,,,,,
1/26/2021,2014442,NRS18_OK_10011,8/19/2019,1,SPL,Region_06,OK,CALIB,PH_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,7,7,10,10,,,,
1/26/2021,2014442,NRS18_OK_10011,8/19/2019,1,SPL,Region_06,OK,CALIB,TEMP_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014442,NRS18_OK_10011,8/19/2019,1,SPL,Region_06,OK,FIELDMEAS,,,,,,,,2139,Y,9.1,,,,,,,Y,X,,8.01,,,,,,,27.6,10:06
1/26/2021,2014443,NRS18_MS_10018,8/19/2019,1,CPL,Region_04,MS,CALIB,,15A101407,YSI PRO DSS,1413,1413,,,,,,PERCENT,100.2,PERCENT,100.2,,761.1,,,,,7,7.01,10,10.16,21.5,21.6,,
1/26/2021,2014443,NRS18_MS_10018,8/19/2019,1,CPL,Region_04,MS,FIELDMEAS,,,,,,,,34.6,Y,7.08,,,,,,,Y,A,,6.64,,,,,,,27.3,9:42
1/26/2021,2014444,NRS18_MT_10051,8/19/2019,1,NPL,Region_08,MT,CALIB,,15E100511; 17L102691,YSI ProDDS,SpC 1409 Standard,1409,,,,,,PERCENT,92.3,PERCENT,92.3,,701,,,,,,,,,25,25.1,,
1/26/2021,2014444,NRS18_MT_10051,8/19/2019,1,NPL,Region_08,MT,CALIB,PH_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,pH 4.0 Standard,4,pH 7.0 Standard,7,,,,
1/26/2021,2014444,NRS18_MT_10051,8/19/2019,1,NPL,Region_08,MT,FIELDMEAS,,,,,,,,605,Y,8.7,,,,,,,Y,A,,8.63,,,,,,,21,12:34
1/26/2021,2014445,NRS18_MT_10022,8/19/2019,1,NPL,Region_08,MT,CALIB,,15E100211; 17L102691,YSI ProDDS,SpC 1409 Standard,1409,,,,,,PERCENT,92.3,PERCENT,92.3,,701,,,,,,,,,25,25.1,,
1/26/2021,2014445,NRS18_MT_10022,8/19/2019,1,NPL,Region_08,MT,CALIB,PH_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,pH 4.0 Standard,4,pH 7.0 Standard,7,,,,
1/26/2021,2014445,NRS18_MT_10022,8/19/2019,1,NPL,Region_08,MT,FIELDMEAS,,,,,,,,595,Y,8.4,,,,,,,Y,A,,8.55,,,,,,,20.3,9:39
1/26/2021,2014446,NRS18_KS_10018,8/19/2019,1,SPL,Region_07,KS,CALIB,,16C104916,YSI ProDSS,Fisher,1408.8,,,,,,PERCENT,96.1,PERCENT,97.8,,730.5,,,,,Fisher,7,Fisher,10,21.5,21.5,,
1/26/2021,2014446,NRS18_KS_10018,8/19/2019,1,SPL,Region_07,KS,FIELDMEAS,,,,,,,,598,Y,11.5,,,,,,,Y,X,,8.33,,,,,,,30.4,13:01
1/26/2021,2014447,NRS18_MT_10001,8/19/2019,1,WMT,Region_08,MT,CALIB,,1,Hq30d,Standard,1000,,,,,,PERCENT,100,PERCENT,100,758,,,,,,Ph solution,7,Ph solution,10,12.5,12.5,,
1/26/2021,2014447,NRS18_MT_10001,8/19/2019,1,WMT,Region_08,MT,FIELDMEAS,,,,,,,,67.2,Y,7.88,,,,,,,Y,X,,6.61,,,,,,,12.7,11:43
1/26/2021,2014448,NRS18_IA_10008,8/19/2019,1,UMW,Region_07,IA,CALIB,,15D100182,YSI ProDSS,Spc. 1409,1409,,,,,,PERCENT,98.2,PERCENT,94.2,,746.1,,,,,pH. 4.0,4,pH. 10.0,10,24.3,24.6,,
1/26/2021,2014448,NRS18_IA_10008,8/19/2019,1,UMW,Region_07,IA,FIELDMEAS,,,,,,,,438.3,Y,7.82,,,,,,,Y,A,,8.15,,,,,,,24.1,9:58
1/26/2021,2014449,NRS18_WI_10011,8/20/2019,1,UMW,Region_05,WI,CALIB,,18E101074,YSI,895,894,,,,,,PERCENT,100,PERCENT,110.4,,738.4,,,,,7.03,6.94,10.07,10.11,25.1,25,,
1/26/2021,2014449,NRS18_WI_10011,8/20/2019,1,UMW,Region_05,WI,FIELDMEAS,,,,,,,,409.8,Y,8.8,,,,,,,Y,A,,8.25,,,,,,,23.9,9:00
1/26/2021,2014450,NRS18_NY_10272,8/20/2019,1,NAP,Region_02,NY,CALIB,,ES1,YSI ProDSS,Pine Env,1413,,,,,,PERCENT,97.7,PERCENT,97.3,,742.2,,,,,Pine Env,7,Pine Env,10,20.7,,,
1/26/2021,2014450,NRS18_NY_10272,8/20/2019,1,NAP,Region_02,NY,FIELDMEAS,,,,,,,,884,Y,8.19,,,,,,,Y,X,,7.48,,,,,,,19,8:49
1/26/2021,2014451,NRS18_NE_RF001,8/20/2019,1,,Region_07,NE,CALIB,,1,YSI PRODSS,,,,,,,,PERCENT,86.55,PERCENT,86.6,,657.8,,,,,,,,,,,,
1/26/2021,2014451,NRS18_NE_RF001,8/20/2019,1,,Region_07,NE,CALIB,COND_CALIBRATION_COMMENT,,,18J100159,1000,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014451,NRS18_NE_RF001,8/20/2019,1,,Region_07,NE,CALIB,PH_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,G339-02,7.02,J049-03,10.07,,,,
1/26/2021,2014451,NRS18_NE_RF001,8/20/2019,1,,Region_07,NE,CALIB,TEMP_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,,,,,18.8,18.9,,
1/26/2021,2014451,NRS18_NE_RF001,8/20/2019,1,,Region_07,NE,FIELDMEAS,,,,,,,,352,Y,8.54,,,,,,,Y,X,,8.07,,,,,,,13.8,8:19
1/26/2021,2014452,NRS18_NE_10033,8/20/2019,1,SPL,Region_07,NE,CALIB,,323646-9,YSI ProDSS,1413,1413,,,,,,PERCENT,100,PERCENT,100,,633,,,,,7,7,10,10,21,21,,
1/26/2021,2014452,NRS18_NE_10033,8/20/2019,1,SPL,Region_07,NE,FIELDMEAS,,,,,,,,153.8,Y,7.07,,,,,,,Y,X,,7.38,,,,,,,24.3,13:13
1/26/2021,2014453,NRS18_VA_10010,8/20/2019,2,CPL,Region_03,VA,CALIB,,17E101232,EXO1,1331,1331,,,,,,PERCENT,98.6,PERCENT,98.1,,749.2,,,,,7,7,10,10,,,,
1/26/2021,2014453,NRS18_VA_10010,8/20/2019,2,CPL,Region_03,VA,CALIB,TEMP_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014453,NRS18_VA_10010,8/20/2019,2,CPL,Region_03,VA,FIELDMEAS,,,,,,,,65,Y,6.62,,,,,,,Y,A,,7.03,,,,,,,27.19,10:40
1/26/2021,2014454,NRS18_NV_10010,8/19/2019,2,XER,Region_09,NV,CALIB,,,Hydro tech,Oakton,447,,,,,,PERCENT,,,100,,,,,,,Oakton,7,Oakton,10.01,,,,
1/26/2021,2014454,NRS18_NV_10010,8/19/2019,2,XER,Region_09,NV,FIELDMEAS,,,,,,,,595.3,Y,8.81,,,,,,,,X,,7.44,,,,,,,18.09,13:28
1/26/2021,2014455,NRS18_MA_10004,8/20/2019,1,NAP,Region_01,MA,CALIB,,18D109286,YSI pro plus,1002,1000,,,,,,PERCENT,96.5,PERCENT,100.2,,761.1,,,,,7,7,,,,,,
1/26/2021,2014455,NRS18_MA_10004,8/20/2019,1,NAP,Region_01,MA,FIELDMEAS,,,,,,,,320.39,N,7.88,,,,,,,Y,A,,7.47,,,,,,,25.5,9:15
1/26/2021,2014456,NRS18_TX_10033,8/20/2019,1,CPL,Region_06,TX,CALIB,,17H102988,YSI ProDSS,"1,000 uS/cm","1,000",,,,,,PERCENT,98.8,PERCENT,96.8,413,,,,,,7.00 @ 25C,7.00 @ 23 C,10.00 @ 25C,10.01 @ 24C,26.4,26.54,,
1/26/2021,2014456,NRS18_TX_10033,8/20/2019,1,CPL,Region_06,TX,FIELDMEAS,,,,,,,,232.9,Y,4.46,,,,,,,Y,X,,7.21,,,,,,,28.3,8:52
1/26/2021,2014457,NRS18_MT_10044,8/20/2019,1,NPL,Region_08,MT,CALIB,,15E100511; 17L102691,YSI ProDDS,SpC 1409 Standard,1409,,,,,,PERCENT,91.6,PERCENT,91.7,,696,,,,,,,,,25,25.1,,
