UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,STATE,AG_ECO9,EPA_REG,SAMPLE_TYPE,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,RESULT,RESULT_UNITS,RL,MDL,ABSORBANCE,ABSORBANCE_UNITS,DATE_RECEIVED,DATE_ANALYZED,CONDITION_CODE,ANALYST,DILUTION_FACTOR,KIT_ID,NARS_FLAG
2013048,4/28/2021,NRS18_OH_10037,7/26/2018,2,OH,SAP,Region_05,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX7,102266,,ug/L,0.15,0.1,1.013,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX7,ND
2013048,4/28/2021,NRS18_OH_10037,7/26/2018,2,OH,SAP,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ6,102267,,ug/L,0.15,0.1,1.047,Std. Units,8/10/2018,2/6/2019,ok,KH,,JulyZ6,ND
2013049,4/28/2021,NRS18_PA_10002,7/24/2018,2,PA,NAP,Region_03,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX7,102226,,ug/L,0.1,0.05,1.005,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX7,ND
2013049,4/28/2021,NRS18_PA_10002,7/24/2018,2,PA,NAP,Region_03,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX7,102226,,ug/L,0.15,0.1,1.002,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX7,ND
2013049,4/28/2021,NRS18_PA_10002,7/24/2018,2,PA,NAP,Region_03,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ3,102227,,ug/L,0.15,0.1,1.137,Std. Units,8/10/2018,2/6/2019,ok,KH,,JulyZ3,ND
2013050,4/28/2021,NRS18_PA_10016,7/25/2018,2,PA,SAP,Region_03,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX9,893666,,ug/L,0.1,0.05,1.021,Std. Units,8/21/2018,2/1/2019,ok,KH,,JulyX9,ND
2013050,4/28/2021,NRS18_PA_10016,7/25/2018,2,PA,SAP,Region_03,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX9,893666,,ug/L,0.15,0.1,1.094,Std. Units,8/21/2018,2/1/2019,ok,KH,,JulyX9,ND
2013050,4/28/2021,NRS18_PA_10016,7/25/2018,2,PA,SAP,Region_03,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ6,893667,,ug/L,0.15,0.1,1.093,Std. Units,8/10/2018,2/6/2019,ok,KH,,JulyZ6,ND
2013051,4/28/2021,NRS18_TX_10039,7/26/2018,1,TX,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX4,100346,,ug/L,0.1,0.05,1.291,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX4,ND
2013051,4/28/2021,NRS18_TX_10039,7/26/2018,1,TX,SPL,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX4,100346,,ug/L,0.15,0.1,1.067,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX4,ND
2013051,4/28/2021,NRS18_TX_10039,7/26/2018,1,TX,SPL,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,100347,,ug/L,0.15,0.1,1.087,Std. Units,8/21/2018,2/5/2019,ok,KH,,JulyZ2,ND
2013052,4/28/2021,NRS18_AR_10192,7/27/2018,1,AR,SAP,Region_06,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX3,102906,,ug/L,0.15,0.1,1.121,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013052,4/28/2021,NRS18_AR_10192,7/27/2018,1,AR,SAP,Region_06,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX3,102906,,ug/L,0.1,0.05,1.304,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013052,4/28/2021,NRS18_AR_10192,7/27/2018,1,AR,SAP,Region_06,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ5,102907,,ug/L,0.15,0.1,1.134,Std. Units,8/21/2018,2/6/2019,ok,KH,,JulyZ5,ND
2013053,4/28/2021,NRS18_IL_10015,7/27/2018,1,IL,TPL,Region_05,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX7,896606,,ug/L,0.1,0.05,0.864,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX7,ND
2013053,4/28/2021,NRS18_IL_10015,7/27/2018,1,IL,TPL,Region_05,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX7,896606,,ug/L,0.15,0.1,1.039,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX7,ND
2013053,4/28/2021,NRS18_IL_10015,7/27/2018,1,IL,TPL,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ8,896607,,ug/L,0.15,0.1,0.954,Std. Units,8/10/2018,2/7/2019,ok,KH,,JulyZ8,ND
2013054,4/28/2021,NRS18_MI_10022,7/27/2018,1,MI,UMW,Region_05,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX3,100746,,ug/L,0.1,0.05,1.276,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013054,4/28/2021,NRS18_MI_10022,7/27/2018,1,MI,UMW,Region_05,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX3,100746,,ug/L,0.15,0.1,1.077,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013054,4/28/2021,NRS18_MI_10022,7/27/2018,1,MI,UMW,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ1,100747,,ug/L,0.15,0.1,1.546,Std. Units,8/21/2018,3/20/2019,ok,KH,,JulyZ1,ND
2013055,4/28/2021,NRS18_CO_10021,7/27/2018,1,CO,SPL,Region_08,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX3,895626,,ug/L,0.1,0.05,1.351,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013055,4/28/2021,NRS18_CO_10021,7/27/2018,1,CO,SPL,Region_08,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX3,895626,,ug/L,0.15,0.1,1.092,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013055,4/28/2021,NRS18_CO_10021,7/27/2018,1,CO,SPL,Region_08,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,895627,,ug/L,0.15,0.1,1.046,Std. Units,8/10/2018,2/5/2019,ok,KH,,JulyZ2,ND
2013056,4/28/2021,NRS18_CO_10033,7/26/2018,1,CO,SPL,Region_08,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX4,101586,,ug/L,0.1,0.05,1.299,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX4,ND
2013056,4/28/2021,NRS18_CO_10033,7/26/2018,1,CO,SPL,Region_08,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX4,101586,,ug/L,0.15,0.1,1.038,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX4,ND
2013056,4/28/2021,NRS18_CO_10033,7/26/2018,1,CO,SPL,Region_08,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ3,101587,,ug/L,0.15,0.1,1.146,Std. Units,8/10/2018,2/6/2019,ok,KH,,JulyZ3,ND
2013057,4/28/2021,NRS18_RI_10192,7/27/2018,1,RI,NAP,Region_01,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX9,105106,,ug/L,0.1,0.05,0.99,Std. Units,8/24/2018,2/1/2019,ok,KH,,JulyX9,ND
2013057,4/28/2021,NRS18_RI_10192,7/27/2018,1,RI,NAP,Region_01,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX9,105106,,ug/L,0.15,0.1,1.134,Std. Units,8/24/2018,2/1/2019,ok,KH,,JulyX9,ND
2013057,4/28/2021,NRS18_RI_10192,7/27/2018,1,RI,NAP,Region_01,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ6,105107,,ug/L,0.15,0.1,1.016,Std. Units,8/22/2018,2/6/2019,ok,KH,,JulyZ6,ND
2013058,4/28/2021,NRS18_GA_10022,7/25/2018,1,GA,SAP,Region_04,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX7,100606,,ug/L,0.15,0.1,1.066,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX7,ND
2013058,4/28/2021,NRS18_GA_10022,7/25/2018,1,GA,SAP,Region_04,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX7,100606,,ug/L,0.1,0.05,0.895,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX7,ND
2013058,4/28/2021,NRS18_GA_10022,7/25/2018,1,GA,SAP,Region_04,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ6,100607,,ug/L,0.15,0.1,1.089,Std. Units,8/10/2018,2/6/2019,ok,KH,,JulyZ6,ND
2013059,4/28/2021,NRS18_CO_10070,7/27/2018,1,CO,SPL,Region_08,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX3,895686,,ug/L,0.15,0.1,1.066,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013059,4/28/2021,NRS18_CO_10070,7/27/2018,1,CO,SPL,Region_08,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX3,895686,,ug/L,0.1,0.05,1.286,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013059,4/28/2021,NRS18_CO_10070,7/27/2018,1,CO,SPL,Region_08,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ5,895687,,ug/L,0.15,0.1,1.156,Std. Units,8/21/2018,2/6/2019,ok,KH,,JulyZ5,ND
2013060,4/28/2021,NRS18_CO_10024,7/26/2018,1,CO,WMT,Region_08,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX4,895866,,ug/L,0.1,0.05,1.314,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX4,ND
2013060,4/28/2021,NRS18_CO_10024,7/26/2018,1,CO,WMT,Region_08,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX4,895866,,ug/L,0.15,0.1,1.071,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX4,ND
2013060,4/28/2021,NRS18_CO_10024,7/26/2018,1,CO,WMT,Region_08,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ1,895867,,ug/L,0.15,0.1,1.478,Std. Units,8/21/2018,3/20/2019,ok,KH,,JulyZ1,ND
2013061,4/28/2021,NRS18_SC_10020,7/29/2018,1,SC,SAP,Region_04,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX2,885946,,ug/L,0.1,0.05,1.253,Std. Units,9/7/2018,1/28/2019,ok,KH,,JulyX2,ND
2013061,4/28/2021,NRS18_SC_10020,7/29/2018,1,SC,SAP,Region_04,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX2,885946,,ug/L,0.15,0.1,1.175,Std. Units,9/7/2018,1/28/2019,ok,KH,,JulyX2,ND
2013061,4/28/2021,NRS18_SC_10020,7/29/2018,1,SC,SAP,Region_04,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ6,885947,,ug/L,0.15,0.1,1.079,Std. Units,8/24/2018,2/6/2019,ok,KH,,JulyZ6,ND
